"","miRNA","lncRNA"
"574","miR-107","CTD-3064H18.1"
"575","miR-107","TTC28-AS1"
"576","miR-107","NEAT1"
"577","miR-107","FGD5-AS1"
"578","miR-107","AD000090.2"
"579","miR-146b-5p","AC010226.4"
"580","miR-146b-5p","SNHG16"
"581","miR-146b-5p","XIST"
"582","miR-146b-5p","EPB41L4A-AS1"
"583","miR-146b-5p","CTC-503J8.6"
"584","miR-146b-5p","KIAA1984-AS1"
"585","miR-146b-5p","RP4-773N10.5"
"586","miR-146b-5p","KCNQ1OT1"
"587","miR-146b-5p","SNHG7"
"588","miR-146b-5p","MALAT1"
"589","miR-146b-5p","NEAT1"
"590","miR-4295","RP11-363E7.4"
"591","miR-4295","CTB-92J24.2"
"592","miR-4295","RP11-290D2.4"
"593","miR-4295","RP11-355O1.11"
"594","miR-4295","CCAT1"
"595","miR-4295","RP11-84C13.1"
"596","miR-4295","AC135048.13"
"597","miR-4295","LINC00116"
"598","miR-4295","RP11-588K22.2"
"599","miR-4295","XIST"
"600","miR-4295","AC084219.4"
"601","miR-4295","NUTM2A-AS1"
"602","miR-4295","AC084018.1"
"603","miR-4295","HOXD-AS1"
"604","miR-4295","RP11-656D10.3"
"605","miR-4295","RP1-178F10.3"
"606","miR-4295","RP11-197P3.5"
"607","miR-4295","CTA-204B4.6"
"608","miR-4295","MAP3K14"
"609","miR-4295","PRKCQ-AS1"
"610","miR-4295","KCNQ1OT1"
"611","miR-4295","RP11-361F15.2"
"612","miR-4295","CTC-281B15.1"
"613","miR-4295","LINC00667"
"614","miR-4295","CTD-2369P2.2"
"615","miR-4295","FGD5-AS1"
"616","miR-4295","MIR17HG"
"617","miR-378c","LINC00657"
"618","miR-378c","RP11-392M18.5"
"619","miR-378c","OIP5-AS1"
"620","miR-378c","RN7SL1"
"621","miR-378c","FBXL19-AS1"
"622","miR-378c","Z97634.5"
"623","miR-378c","CTC-479C5.17"
"624","miR-378c","RP11-118N24.3"
"625","miR-378c","CTA-204B4.6"
"626","miR-378c","HCG18"
"627","miR-378c","CASP8AP2"
"628","miR-378c","AP006222.2"
"629","miR-378c","LINC00641"
"630","miR-378c","MALAT1"
"631","miR-378c","RP4-622L5.2"
"632","miR-202-3p","RP11-175O19.4"
"633","miR-202-3p","LINC00657"
"634","miR-202-3p","RP11-398F12.1"
"635","miR-202-3p","RP11-220I1.1"
"636","miR-202-3p","RP11-170L3.8"
"637","miR-202-3p","ZNF761"
"638","miR-202-3p","XIST"
"639","miR-202-3p","AC096772.6"
"640","miR-202-3p","CTC-228N24.3"
"641","miR-202-3p","SLC37A4"
"642","miR-202-3p","UHRF1"
"643","miR-202-3p","RP11-139H15.1"
"644","miR-202-3p","CTB-96E2.3"
"645","miR-202-3p","RP11-96D1.10"
"646","miR-202-3p","MALAT1"
"647","miR-202-3p","FGD5-AS1"
"648","miR-210-3p","hsa-mir-744"
"649","miR-302e","RP11-392M18.5"
"650","miR-302e","RP11-355O1.11"
"651","miR-302e","hsa-mir-6080"
"652","miR-302e","HNRNPU-AS1"
"653","miR-302e","AL589743.1"
"654","miR-302e","SNHG16"
"655","miR-302e","GS1-358P8.4"
"656","miR-302e","XIST"
"657","miR-302e","MIR4720"
"658","miR-302e","SCAMP1"
"659","miR-302e","RP11-145M9.4"
"660","miR-302e","RP11-379K17.11"
"661","miR-302e","RP11-197P3.5"
"662","miR-302e","RP5-1024G6.8"
"663","miR-302e","CTA-204B4.6"
"664","miR-302e","RP11-498C9.15"
"665","miR-302e","MAP3K14"
"666","miR-302e","RP11-315C6.3"
"667","miR-302e","HCG18"
"668","miR-302e","CASP8AP2"
"669","miR-302e","C11orf95"
"670","miR-302e","RP4-773N10.5"
"671","miR-302e","RP11-156E6.1"
"672","miR-302e","RP11-96D1.6"
"673","miR-302e","CTC-444N24.11"
"674","miR-302e","PPP1R9B"
"675","miR-302e","ZNF518A"
"676","miR-302e","FGD5-AS1"
"677","miR-302e","MIR17HG"
"678","miR-129-5p","RP11-395G23.3"
"679","miR-129-5p","RP11-102F4.3"
"680","miR-129-5p","OIP5-AS1"
"681","miR-129-5p","SNORD57"
"682","miR-129-5p","XIST"
"683","miR-129-5p","RP11-738E22.2"
"684","miR-129-5p","RP11-139H15.1"
"685","miR-129-5p","LINC00665"
"686","miR-129-5p","RP1-37E16.12"
"687","miR-129-5p","RP11-973H7.2"
"688","miR-129-5p","CTD-2086O20.3"
"689","miR-129-5p","RP4-773N10.5"
"690","miR-129-5p","HOTAIRM1"
"691","miR-129-5p","RP11-477D19.2"
"692","miR-129-5p","TBC1D3P1-DHX40P1"
"693","miR-129-5p","MALAT1"
"694","miR-129-5p","RP4-622L5.2"
"695","miR-129-5p","ZNF518A"
